date,min,max,median,q1,q3,stdev,count
2020-09-27T00:00:00.000Z,0.47,10.38,3.03,1.7,3.95,1.649,63
2020-09-28T00:00:00.000Z,1.42,13.02,3.87,2.8,5.32,2.217,247
2020-09-29T00:00:00.000Z,2.47,64.09,8.48,6.14,10.55,6.315,233
2020-09-30T00:00:00.000Z,2.08,27.42,8.43,5.9,11.84,4.896,333
2020-10-01T00:00:00.000Z,3.08,449.6,11.32,6.5,15.57,27.075,279
2020-10-02T00:00:00.000Z,8.52,87.28,22.98,14.21,43.06,19.53,201
2020-10-03T00:00:00.000Z,0.13,80.28,4.57,1.85,10.23,7.565,205
2020-10-04T00:00:00.000Z,1.2,13.35,3.9,3,4.69,1.581,277
2020-10-05T00:00:00.000Z,1.25,21.37,6.22,3.62,9.16,3.636,285
2020-10-06T00:00:00.000Z,3.57,20.32,10.44,7.75,12.73,3.357,298
2020-10-07T00:00:00.000Z,0.52,221.4,4.87,2.54,8.13,16.834,307
2020-10-08T00:00:00.000Z,2.65,24.58,7.74,6,11.05,4.426,290
2020-10-09T00:00:00.000Z,4.22,109.37,13.55,7.55,23.3,10.66,315
2020-10-10T00:00:00.000Z,5.22,48,18.95,9.77,25.6,8.617,362
2020-10-11T00:00:00.000Z,0.52,23.73,3.6,1.3,6.43,4.651,375
2020-10-12T00:00:00.000Z,0.4,17.92,4.93,2.95,7.28,3.178,308
2020-10-13T00:00:00.000Z,1.3,584.91,7.55,5.85,9.3,34.13,315
2020-10-14T00:00:00.000Z,5.22,30.5,11.91,9.02,21.1,6.968,334
2020-10-15T00:00:00.000Z,5.25,113.93,23.98,11.52,27.29,14.311,353
2020-10-16T00:00:00.000Z,3.67,59.55,15.35,9.55,30.45,15.322,377
2020-10-17T00:00:00.000Z,5.87,44.3,15.4,12.57,24.5,9.71,371
2020-10-18T00:00:00.000Z,19.27,49.6,30.12,24.87,37.1,7.512,382
2020-10-19T00:00:00.000Z,24.17,327.83,40.33,36.77,43.08,16.286,377
2020-10-20T00:00:00.000Z,13.27,78.63,35.85,27.67,53.08,16.661,385
2020-10-21T00:00:00.000Z,17.98,173.13,38.9,25.08,48.65,14.984,378
2020-10-22T00:00:00.000Z,13.88,41.67,24.38,19.41,30.24,6.533,376
2020-10-23T00:00:00.000Z,25.83,213.65,84.99,48.08,166.99,61.754,364
2020-10-24T00:00:00.000Z,21.17,180.2,54.59,37.42,116.15,46.054,378
2020-10-25T00:00:00.000Z,11.75,923.45,55.83,44.75,63.17,46.58,407
2020-10-26T00:00:00.000Z,1.6,57.2,15.63,10.15,28.7,14.002,399
2020-10-27T00:00:00.000Z,0,347.85,2.52,1.08,6.93,24.311,371
2020-10-28T00:00:00.000Z,1.9,24.08,9.27,6.77,11.92,3.98,396
2020-10-29T00:00:00.000Z,5.28,31.83,15.68,12.35,18.1,4.077,394
2020-10-30T00:00:00.000Z,9.68,61.63,23.9,19.85,38.1,12.733,403
2020-10-31T00:00:00.000Z,35.03,97.8,55.4,46.1,73.2,16.455,403
2020-11-01T00:00:00.000Z,25.08,123.03,38.02,33.29,47.24,17.17,408
2020-11-02T00:00:00.000Z,20.25,71.3,50.93,41.75,57.82,12.815,392
2020-11-03T00:00:00.000Z,48.28,125.1,72.84,65.75,89.95,16.351,390
2020-11-04T00:00:00.000Z,59.88,176.93,97.22,74.2,120.6,29.687,285
2020-11-05T00:00:00.000Z,32.72,120.1,83,52.78,103.5,25.181,241
2020-11-06T00:00:00.000Z,26.13,174.43,58,43.33,93.99,29.486,321
2020-11-07T00:00:00.000Z,27.33,316.02,51.76,42.95,72.2,20.337,358
2020-11-08T00:00:00.000Z,10.65,99.53,38.2,25.05,49.28,19.927,322
2020-11-09T00:00:00.000Z,20.85,65.97,37.49,30.23,49.4,11.366,266
2020-11-10T00:00:00.000Z,33.47,99.8,54.45,43.95,81.45,19.099,306
2020-11-11T00:00:00.000Z,29.95,123.43,81.93,55.4,95.41,24.827,312
2020-11-12T00:00:00.000Z,62.63,112.7,94.6,87.03,101.75,10.328,266
2020-11-13T00:00:00.000Z,88.53,157.25,110.18,98.74,128.33,17.476,289
2020-11-14T00:00:00.000Z,93.1,189.98,132.01,110.03,148,23.124,302
2020-11-15T00:00:00.000Z,53.35,135.85,106.78,90.38,111.72,17.25,267
2020-11-16T00:00:00.000Z,38.35,121.72,85.84,74.31,95.82,18.4,254
2020-11-17T00:00:00.000Z,27.38,129.65,48.39,37.83,66.84,31.115,248
2020-11-18T00:00:00.000Z,26.05,86.7,46.47,36.25,60.35,14.562,306
2020-11-19T00:00:00.000Z,33.95,84,55.6,48.22,61.55,9.516,303
2020-11-20T00:00:00.000Z,1.63,130.18,16.02,5.33,33.9,20.617,329
2020-11-21T00:00:00.000Z,2.15,54.42,7.7,4.32,14.77,7.359,287
2020-11-22T00:00:00.000Z,6.18,400.83,12.57,10.25,16.13,25.07,259
2020-11-23T00:00:00.000Z,18.42,50.83,28.45,23.77,34.08,6.797,251
2020-11-24T00:00:00.000Z,23.6,61.6,43.63,39.03,47.05,5.935,255
2020-11-25T00:00:00.000Z,43.35,84.43,57.13,53.6,60.78,7.814,267
2020-11-26T00:00:00.000Z,48.55,128.43,87.02,70.62,94.88,18.477,260
2020-11-27T00:00:00.000Z,75.75,135.03,113.35,100.63,124.5,14.399,255
2020-11-28T00:00:00.000Z,48.97,189.35,92.75,76.22,135.72,36.627,254
2020-11-29T00:00:00.000Z,48.67,107.53,76.59,66.34,84.3,12.329,251
2020-11-30T00:00:00.000Z,15.4,68.59,31.7,23.52,50.71,14.978,229
2020-12-01T00:00:00.000Z,19.55,228.48,29.49,26.92,32.54,14.37,220
2020-12-02T00:00:00.000Z,5.82,136.97,18.13,13.5,26.83,13.309,251
2020-12-03T00:00:00.000Z,18.32,239.4,37.95,33.75,44.67,16.729,221
