date,min,max,median,q1,q3,stdev,count
2020-09-27T00:00:00.000Z,0.4,2.65,1.12,0.7,1.9,0.674,63
2020-09-28T00:00:00.000Z,0.65,6.82,1.73,1.4,2.2,1.097,247
2020-09-29T00:00:00.000Z,0.88,37.45,3.92,2.29,5.14,3.854,233
2020-09-30T00:00:00.000Z,1.3,18.73,4.18,2.27,6.02,4.011,333
2020-10-01T00:00:00.000Z,2.17,274.42,6.72,3.3,9.57,16.945,279
2020-10-02T00:00:00.000Z,4.65,59.67,19.1,8.27,32.1,14.672,201
2020-10-03T00:00:00.000Z,0.1,14.15,1.73,0.5,6.06,3.067,205
2020-10-04T00:00:00.000Z,0.6,4.55,1.27,1.08,1.6,0.659,277
2020-10-05T00:00:00.000Z,0.7,16.39,3.28,1.51,5.75,2.675,285
2020-10-06T00:00:00.000Z,1.17,10.65,6.89,3.22,8.32,2.625,298
2020-10-07T00:00:00.000Z,0.3,143.85,2.29,1.1,5.3,11.552,307
2020-10-08T00:00:00.000Z,1.65,10.85,3.61,2.75,5,2.029,290
2020-10-09T00:00:00.000Z,2.42,86.28,6.85,3.85,17.35,8.423,315
2020-10-10T00:00:00.000Z,3.3,26.83,13.8,6.35,17.98,6.431,362
2020-10-11T00:00:00.000Z,0.4,17.6,2.65,0.85,4.87,3.676,375
2020-10-12T00:00:00.000Z,0.3,11.02,2.59,1.72,4.18,1.792,308
2020-10-13T00:00:00.000Z,0.8,45.4,4,3.3,4.84,2.762,315
2020-10-14T00:00:00.000Z,3.2,18.45,7.8,5.53,11.9,4.235,334
2020-10-15T00:00:00.000Z,3.75,39.78,15.88,8.44,18.69,7.563,353
2020-10-16T00:00:00.000Z,3.15,40.88,10.45,7.32,21,9.335,377
2020-10-17T00:00:00.000Z,4.82,31.65,12.1,10,19.39,7.301,371
2020-10-18T00:00:00.000Z,16.32,37.67,23.46,20.77,28.27,5.373,382
2020-10-19T00:00:00.000Z,20.75,80.13,31.08,28.34,34.46,5.852,377
2020-10-20T00:00:00.000Z,10.07,52.2,27.88,21.49,38.1,11.029,385
2020-10-21T00:00:00.000Z,14.25,97.05,29.48,18.3,35.4,9.845,378
2020-10-22T00:00:00.000Z,11.55,30.25,18.17,14.98,21.95,4.322,376
2020-10-23T00:00:00.000Z,22.15,101.63,51.95,30.29,86.83,27.968,364
2020-10-24T00:00:00.000Z,18.77,88.13,37.72,26.83,61.45,20.1,378
2020-10-25T00:00:00.000Z,8.94,108.95,39.03,33.95,44.08,12.125,407
2020-10-26T00:00:00.000Z,1.14,33.33,10.6,7.07,18.95,8.498,399
2020-10-27T00:00:00.000Z,0,202.4,1,0.35,2.52,15.087,371
2020-10-28T00:00:00.000Z,1.25,12.82,5.85,3.69,6.89,2.574,396
2020-10-29T00:00:00.000Z,3.78,18.14,10.18,7.68,11.9,2.792,394
2020-10-30T00:00:00.000Z,5.09,45.13,16.55,14.18,30.3,10.369,403
2020-10-31T00:00:00.000Z,26.73,54.3,37.53,34.25,45.25,6.45,403
2020-11-01T00:00:00.000Z,19.5,48.33,27.25,23.99,30.65,5.461,408
2020-11-02T00:00:00.000Z,17.5,40.5,33.04,29.77,35.89,5.759,392
2020-11-03T00:00:00.000Z,30.52,74.93,43.32,37.88,45.75,5.112,390
2020-11-04T00:00:00.000Z,35,63.92,44.85,39.86,52.68,8.143,285
2020-11-05T00:00:00.000Z,25.58,75.31,43.13,34.53,52.48,9.941,241
2020-11-06T00:00:00.000Z,18.93,116.78,34.9,27.7,49.36,13.881,321
2020-11-07T00:00:00.000Z,19.88,113.53,34.7,29.85,43.17,8.069,358
2020-11-08T00:00:00.000Z,9.13,56.05,26.08,20,33.08,11.106,322
2020-11-09T00:00:00.000Z,14.4,41.25,27.56,21.48,34,7.27,266
2020-11-10T00:00:00.000Z,22.88,62.7,37.03,29.4,51.33,11.55,306
2020-11-11T00:00:00.000Z,24.7,67,41.18,35.6,55.48,11.443,312
2020-11-12T00:00:00.000Z,42.85,60.55,51.93,49.22,55.4,4.069,266
2020-11-13T00:00:00.000Z,48.2,74.09,55.13,52.62,63.35,5.902,289
2020-11-14T00:00:00.000Z,48.97,102.43,67.48,56.63,73.9,9.586,302
2020-11-15T00:00:00.000Z,31.52,65.06,53.85,47.45,55.42,7.011,267
2020-11-16T00:00:00.000Z,23.5,58.78,42.3,38,46.13,6.756,254
2020-11-17T00:00:00.000Z,19.52,56.4,30.39,25.52,38.54,10.798,248
2020-11-18T00:00:00.000Z,19.1,46.42,28.17,23.27,34.88,6.455,306
2020-11-19T00:00:00.000Z,21.1,41.4,33.47,30.8,36.95,4.046,303
2020-11-20T00:00:00.000Z,1.2,81.93,8.68,2.9,18.64,12.343,329
2020-11-21T00:00:00.000Z,1.45,30.35,2.9,2.02,8.3,4.336,287
2020-11-22T00:00:00.000Z,4.97,37.88,8.27,6.32,10.45,2.901,259
2020-11-23T00:00:00.000Z,11.73,28.95,18.82,16.39,22.65,3.91,251
2020-11-24T00:00:00.000Z,19.38,36.65,28.5,25.6,30.58,3.466,255
2020-11-25T00:00:00.000Z,31.15,53,37.1,34.67,39.72,4.397,267
2020-11-26T00:00:00.000Z,33.03,79.65,55.87,48.6,59.11,10.133,260
2020-11-27T00:00:00.000Z,50.3,89.7,71.88,65.4,78.34,8.301,255
2020-11-28T00:00:00.000Z,32.28,110.18,59.39,49.92,85.3,21.338,254
2020-11-29T00:00:00.000Z,35.75,66.15,48.65,42.9,53.05,7.345,251
2020-11-30T00:00:00.000Z,11.38,39.22,19.3,14.03,29.54,8.95,229
2020-12-01T00:00:00.000Z,12.27,109.57,17.8,16.23,19.88,6.731,220
2020-12-02T00:00:00.000Z,4.28,58.55,11.68,9.19,16.48,6.362,250
2020-12-03T00:00:00.000Z,12.55,97.82,21.52,17.47,23.79,6.823,221
2020-12-04T00:00:00.000Z,4.59,46.4,19.63,9.93,29.15,9.856,239
2020-12-05T00:00:00.000Z,5.7,57.47,14.07,11.88,17.35,5.577,230
2020-12-06T00:00:00.000Z,10.18,40.13,21.27,18.5,26.88,5.29,311
2020-12-07T00:00:00.000Z,12.82,47.5,20.98,17.17,27.17,5.983,132
2020-12-08T00:00:00.000Z,2.2,17.07,8.75,4.42,12.05,4.189,120
2020-12-09T00:00:00.000Z,2.15,33,15.35,9.86,19.48,6.211,237
2020-12-10T00:00:00.000Z,3.55,34.83,14.96,7.45,20.75,7.997,246
2020-12-11T00:00:00.000Z,13.2,46.53,30.85,22.45,36.88,8.213,294
2020-12-12T00:00:00.000Z,24.38,47.05,34.34,30.2,37.85,5.191,292
2020-12-13T00:00:00.000Z,15.02,41.47,28.03,24.3,30.8,5.545,282
2020-12-14T00:00:00.000Z,20.73,47.92,31.29,26.88,36.4,6.388,260
2020-12-15T00:00:00.000Z,11.23,62.5,30.3,18.63,46.6,14.829,283
2020-12-16T00:00:00.000Z,17.14,49.75,33.45,28.67,36.7,5.982,283
2020-12-17T00:00:00.000Z,17.73,66.22,32.33,29.8,45.1,12.049,259
2020-12-18T00:00:00.000Z,35.67,108.25,56.83,52.17,61.34,7.877,229
2020-12-19T00:00:00.000Z,36.15,69.75,50.48,46.96,59.64,8.355,156
2020-12-20T00:00:00.000Z,19.82,64.9,33.56,28.09,49.95,11.77,280
2020-12-21T00:00:00.000Z,18.64,57,39.15,27.67,48.92,11.147,275
2020-12-22T00:00:00.000Z,14.45,76.55,29,23.96,35.92,9,261
2020-12-23T00:00:00.000Z,19,55.15,37.25,31.99,43.18,7.487,281
2020-12-24T00:00:00.000Z,8,26.58,15.87,14.32,17.82,3.135,262
2020-12-25T00:00:00.000Z,0.28,19.88,1.67,0.7,13,6.808,280
2020-12-26T00:00:00.000Z,0.35,13.95,2.2,1.4,2.92,3.326,270
2020-12-27T00:00:00.000Z,4.7,30.73,9.75,6.3,20.6,7.816,251
2020-12-28T00:00:00.000Z,3.78,31.9,10.52,5.4,21.83,8.95,174
2020-12-29T00:00:00.000Z,17,36.78,24.74,21.3,28.8,4.973,126
2020-12-30T00:00:00.000Z,23.92,45.83,31.18,29.07,33.88,3.608,128
2020-12-31T00:00:00.000Z,9.88,95.53,34.6,19.55,41.53,14.086,77
2021-01-01T00:00:00.000Z,3.7,94.93,9.77,7.25,13.33,17.042,156
2021-01-02T00:00:00.000Z,2.8,46.33,11.75,8.56,15.08,5.595,253
2021-01-03T00:00:00.000Z,0.6,76.75,8.55,3.4,14.73,8.945,257
2021-01-04T00:00:00.000Z,2.22,57.67,7.47,4.28,19.23,8.073,258
2021-01-05T00:00:00.000Z,1.25,75.7,10.97,6.03,22.9,11.02,242
2021-01-06T00:00:00.000Z,5.72,50.65,10.7,8.88,15.6,4.565,259
2021-01-07T00:00:00.000Z,6.63,21.88,15.43,11.27,18.7,3.982,251
2021-01-08T00:00:00.000Z,5.75,19.07,10.38,8.35,12.97,3.071,260
2021-01-09T00:00:00.000Z,4.15,18,9.22,6.31,13.5,3.808,256
2021-01-10T00:00:00.000Z,4.5,18.5,7.43,6.22,10.9,3.316,258
2021-01-11T00:00:00.000Z,7.75,27.05,11.53,10.21,14.35,3.272,236
2021-01-12T00:00:00.000Z,8.18,41.97,17.38,14.98,20.03,4.274,248
2021-01-13T00:00:00.000Z,3.65,34.22,11.19,8.05,20.35,7.29,244
2021-01-14T00:00:00.000Z,12.88,36.03,23.69,19.17,33.15,7.345,240
2021-01-15T00:00:00.000Z,1.8,24.42,2.95,2.4,9.35,5.371,255
2021-01-16T00:00:00.000Z,7.63,74.43,10.51,9.38,14.4,6.479,242
2021-01-17T00:00:00.000Z,20.6,66.93,28.73,23.94,41.18,10.28,229
2021-01-18T00:00:00.000Z,36.63,87.07,65.9,47.08,72.2,13.773,219
2021-01-19T00:00:00.000Z,59.45,119.7,73.52,69,76.34,6.213,194
2021-01-20T00:00:00.000Z,54.05,93.35,74.48,65.43,82.71,10.144,240
2021-01-21T00:00:00.000Z,36.97,103.1,59.95,55.6,76.25,13.72,223
2021-01-22T00:00:00.000Z,5.88,109.93,28.25,11.93,47.28,17.424,235
2021-01-23T00:00:00.000Z,0,74.15,5.09,2.38,10.23,7.298,238
2021-01-24T00:00:00.000Z,0.3,19.82,11.88,7.24,14.91,5.112,248
2021-01-25T00:00:00.000Z,0.35,20.67,3.13,2.5,4.2,1.78,224
2021-01-26T00:00:00.000Z,0.1,27.38,0.67,0.35,1.3,2.131,254
2021-01-27T00:00:00.000Z,0.9,7.18,2.83,2.34,3.69,1.489,228
2021-01-28T00:00:00.000Z,1.95,19,8.35,4.65,13.55,4.923,262
2021-01-29T00:00:00.000Z,18.64,37.28,27.08,24.45,30.17,3.9,209
2021-01-30T00:00:00.000Z,6.6,50.05,24.25,18.47,37.14,12.101,124
2021-01-31T00:00:00.000Z,5,73.45,21.15,14.88,36.27,13.053,252
2021-02-01T00:00:00.000Z,4.53,28.7,7.39,6.35,12.93,5.945,208
2021-02-02T00:00:00.000Z,23.3,47.45,38.17,34.17,40.79,5.268,224
2021-02-03T00:00:00.000Z,14.6,63.1,35.63,22.13,47.03,13.907,231
2021-02-04T00:00:00.000Z,14.18,41.65,23.3,17.42,27.97,7.585,188
2021-02-05T00:00:00.000Z,27,49.53,35.45,32.83,42.47,5.829,204
2021-02-06T00:00:00.000Z,26.83,63.3,35.6,33.1,46.2,8.706,219
2021-02-07T00:00:00.000Z,1.7,56.8,8.55,6.32,11.5,9.735,219
2021-02-08T00:00:00.000Z,0.1,14.07,4.47,2.04,8.56,3.953,237
2021-02-09T00:00:00.000Z,4.3,35.85,8.6,6.94,12.05,7.601,225
2021-02-10T00:00:00.000Z,1.4,36.85,5.05,3.08,11.36,8.644,220
2021-02-11T00:00:00.000Z,3.05,27.38,8.73,5.6,13.1,5.295,218
2021-02-12T00:00:00.000Z,4.22,10.32,6.34,5.15,8.75,1.811,244
2021-02-13T00:00:00.000Z,2.2,8.13,4.38,3.05,5.65,1.647,239
2021-02-14T00:00:00.000Z,6.2,15.18,10.48,8.49,11.55,2.109,221
2021-02-15T00:00:00.000Z,3.58,50.72,11.25,6.56,12.69,4.56,224
2021-02-16T00:00:00.000Z,1.7,23.33,10.27,6.66,11.75,4.297,217
2021-02-17T00:00:00.000Z,5.47,54.13,13.31,10.73,25.5,10.56,216
2021-02-18T00:00:00.000Z,51.58,93.28,62.8,55.4,69.43,11.408,239
2021-02-19T00:00:00.000Z,26.73,122.22,55.57,44.44,67.59,21.514,224
2021-02-20T00:00:00.000Z,45.55,137.63,66.72,57.64,75.02,10.988,224
2021-02-21T00:00:00.000Z,25.15,93.25,55.42,38.95,78.28,19.724,183
2021-02-22T00:00:00.000Z,35.95,53.08,43.33,40.74,48.17,4.277,189
2021-02-23T00:00:00.000Z,26.58,57,36.76,29.84,46.03,8.756,196
2021-02-24T00:00:00.000Z,10.18,38.35,19.39,15.63,34.6,9.549,211
2021-02-25T00:00:00.000Z,12,31.9,18.35,16.44,21.26,3.902,213
