date,min,max,median,q1,q3,stdev,count
2019-05-10T00:00:00.000Z,11.11,51.43,38.6,18.64,42.88,12.379,553
2019-05-11T00:00:00.000Z,1.02,48.43,15.48,11.54,24.22,8.71,1039
2019-05-12T00:00:00.000Z,0.23,15.54,3.85,2.25,6.76,2.885,1054
2019-05-13T00:00:00.000Z,0.02,13.82,2.65,0.78,5.2,2.655,1055
2019-05-14T00:00:00.000Z,4.36,34.84,12.04,9.39,21.24,7.075,1000
2019-05-15T00:00:00.000Z,3.22,20.81,9.75,6.97,11.95,3.674,1048
2019-05-16T00:00:00.000Z,6.28,37.09,20.61,17.78,24.03,4.973,1021
2019-05-17T00:00:00.000Z,7.73,56.24,31.39,14.76,36.36,11.395,1047
2019-05-18T00:00:00.000Z,2.37,46.86,17.75,8.9,31.33,12.512,1036
2019-05-19T00:00:00.000Z,4.01,41.91,17.76,10.62,26.34,9.005,1034
2019-05-20T00:00:00.000Z,3.07,48.95,25.08,8.09,34.38,12.872,1042
2019-05-21T00:00:00.000Z,3.5,25.33,10.33,7.5,13.27,3.989,1021
2019-05-22T00:00:00.000Z,6.16,37.33,16.46,10.87,18.27,4.342,1063
2019-05-23T00:00:00.000Z,5.98,48.66,20.7,12.87,26.41,8.083,1048
2019-05-24T00:00:00.000Z,6.48,37.78,17.14,14.36,19.39,4.189,1031
2019-05-25T00:00:00.000Z,3.33,37.4,17.96,13.57,24,7.609,1047
2019-05-26T00:00:00.000Z,5.19,40.38,10.16,8.19,14.81,9.652,1053
2019-05-27T00:00:00.000Z,4.29,56.93,21.66,11.69,25.79,9.163,1051
2019-05-28T00:00:00.000Z,0.02,47.49,32.33,3.42,36.4,16.332,1041
2019-05-29T00:00:00.000Z,0.02,28.59,2.33,0.89,5.5,4.568,1050
2019-05-30T00:00:00.000Z,0.11,11.02,4.13,2.49,6.28,2.468,1022
2019-05-31T00:00:00.000Z,1.11,41.78,5.69,3.25,10.17,6.325,948
2019-06-01T00:00:00.000Z,2.18,47.44,23.4,14.09,29,9.909,711
2019-06-02T00:00:00.000Z,4.36,92.04,16.12,9.07,21.81,7.488,705
2019-06-03T00:00:00.000Z,4.43,40.08,10.32,8.02,12.04,3.023,717
2019-06-04T00:00:00.000Z,7.19,30.83,13.93,11.02,20,5.275,713
2019-06-05T00:00:00.000Z,3.47,42.4,10,8.1,15.38,5.027,719
2019-06-06T00:00:00.000Z,5.79,49.82,15.8,12.27,40.63,14.484,717
2019-06-07T00:00:00.000Z,3.88,30.62,9.64,6.64,14.05,5.19,721
2019-06-08T00:00:00.000Z,7.49,29.61,18.28,13.37,20.99,4.815,717
2019-06-09T00:00:00.000Z,11.2,80.39,24.91,17.09,30.29,8.073,715
2019-06-10T00:00:00.000Z,10.69,44.25,30.62,19.59,36.42,9.04,719
2019-06-11T00:00:00.000Z,15.96,48.54,22.06,20.49,23.91,4.858,719
2019-06-12T00:00:00.000Z,0.47,39.79,21.46,5.45,29.41,12.938,710
2019-06-13T00:00:00.000Z,0.84,22.2,3.76,2.09,4.86,2.502,713
2019-06-14T00:00:00.000Z,5.5,32.47,11.99,8.14,17.1,6.606,712
2019-06-15T00:00:00.000Z,11.18,58.79,23.41,17.48,35.51,13.063,720
2019-06-16T00:00:00.000Z,4.04,27.45,9.1,6.91,13.44,4.909,723
2019-06-17T00:00:00.000Z,6.31,26.31,11.89,9.8,18.2,5.115,717
2019-06-18T00:00:00.000Z,9.13,27.31,15.75,13.29,18.48,3.402,716
2019-06-19T00:00:00.000Z,6.36,45.34,16.16,11.27,24.46,10.566,717
2019-06-20T00:00:00.000Z,4.37,20.94,8.69,7.35,10.88,2.459,675
2019-06-21T00:00:00.000Z,5.93,26.64,13.75,11.45,16.36,3.713,713
