date,min,max,median,q1,q3,stdev,count
2020-01-29T00:00:00.000Z,3.38,9.06,5.57,4.08,6.95,1.548,45
2020-01-30T00:00:00.000Z,2.21,106.62,13.97,4.76,80.95,38.025,290
2020-01-31T00:00:00.000Z,8.57,107,47.86,38.38,97.81,30.52,281
2020-02-01T00:00:00.000Z,37.28,117.97,91.61,70.76,104.16,22.568,318
2020-02-02T00:00:00.000Z,12.98,92.38,29.83,18.52,49.06,23.231,326
2020-02-03T00:00:00.000Z,18.73,231.91,39.68,34.27,58.21,44.892,312
2020-02-04T00:00:00.000Z,0.3,200.61,6.56,1.74,162.33,78.629,252
2020-02-05T00:00:00.000Z,0.26,12.88,2.37,1.37,4.2,2.371,237
2020-02-06T00:00:00.000Z,0.74,17.55,5.37,3.74,7.95,2.947,232
2020-02-07T00:00:00.000Z,3.04,34.96,14.68,8.96,21.11,7.741,210
2020-02-08T00:00:00.000Z,15.5,50.93,22.83,20.23,27.48,7.714,174
2020-02-09T00:00:00.000Z,40.17,85.74,65.19,57.16,72.31,9.691,318
2020-02-10T00:00:00.000Z,21.73,84.75,62.76,55.21,69.92,12.424,367
2020-02-11T00:00:00.000Z,0.5,60.24,4.09,1.65,45.1,21.403,355
2020-02-12T00:00:00.000Z,0.35,110.56,2.41,1.27,4.7,9.069,388
2020-02-13T00:00:00.000Z,4.12,61.7,27.42,19.48,35.61,13.337,377
2020-02-14T00:00:00.000Z,9.64,53.64,25.04,18.48,30.26,9.299,377
2020-02-15T00:00:00.000Z,14.2,81.4,46.3,35.26,50.5,13.477,329
2020-02-16T00:00:00.000Z,31.39,82.16,65.31,49.46,71.92,12.809,375
2020-02-17T00:00:00.000Z,14.06,110.05,58.08,40.29,76.48,24.984,345
2020-02-18T00:00:00.000Z,17.01,92.98,63.74,55.02,71.48,13.708,307
2020-02-19T00:00:00.000Z,0.7,83.7,48.51,34.21,58.36,24.601,452
2020-02-20T00:00:00.000Z,1.38,36.15,7.04,4.04,16.11,8.05,497
2020-02-21T00:00:00.000Z,9.07,42.9,26.48,20.76,31.13,7.12,418
2020-02-22T00:00:00.000Z,17.29,64.31,37.17,29.35,50.27,12.194,436
2020-02-23T00:00:00.000Z,5.66,80.59,28.4,16.44,59.51,22.924,443
2020-02-24T00:00:00.000Z,4.9,95.8,39.6,18.3,62.85,23.931,510
2020-02-25T00:00:00.000Z,23.7,101.34,75.66,66.43,83.66,19.066,440
2020-02-26T00:00:00.000Z,0.2,112.48,6.96,1.38,86.76,42.638,399
2020-02-27T00:00:00.000Z,0.4,28.18,2.37,1.62,3.53,2.222,543
2020-02-28T00:00:00.000Z,0.2,18.94,1.87,1.08,3.65,3.739,548
2020-02-29T00:00:00.000Z,3.4,22.52,7.96,6.05,10.61,3.521,572
2020-03-01T00:00:00.000Z,13.19,91.16,25.38,20.66,30.9,19.847,570
2020-03-02T00:00:00.000Z,2.7,81.34,11.41,6.85,62.35,27.189,464
2020-03-03T00:00:00.000Z,0.8,19.75,10.94,6.46,14.26,4.37,424
2020-03-04T00:00:00.000Z,1.34,22.66,7.25,3.92,11.44,4.808,582
2020-03-05T00:00:00.000Z,4.3,33.97,9.57,7.35,11.67,3.659,589
2020-03-06T00:00:00.000Z,9.36,47.08,20.61,15.75,24.43,8.009,588
2020-03-07T00:00:00.000Z,0.25,52.58,19.61,5.91,43.69,18.506,591
2020-03-08T00:00:00.000Z,2.25,23.86,7.22,3.98,12.08,5.058,590
2020-03-09T00:00:00.000Z,7.1,23.28,14.16,11.94,15.7,3.093,582
2020-03-10T00:00:00.000Z,1.75,37.11,10.83,4.2,24.33,10.302,575
2020-03-11T00:00:00.000Z,1.82,17.02,5.78,4.28,8.39,3.245,580
2020-03-12T00:00:00.000Z,2.8,63.6,7.88,5.51,15.14,18.591,488
2020-03-13T00:00:00.000Z,1.6,77.62,4.28,3.2,5.77,14.009,512
2020-03-14T00:00:00.000Z,1.1,92.08,5.52,3.15,29.13,28.689,545
2020-03-15T00:00:00.000Z,2.88,27.22,8.11,4.38,13,4.697,289
2020-03-16T00:00:00.000Z,3.96,20.98,9.67,7.78,13.44,3.95,579
2020-03-17T00:00:00.000Z,13.34,110.78,23.02,19.79,26.44,13.474,583
2020-03-18T00:00:00.000Z,11.93,52.44,38.61,26.81,41.63,9.283,506
2020-03-19T00:00:00.000Z,13.94,46.8,35.04,24.53,39.65,8.534,555
2020-03-20T00:00:00.000Z,5.39,54.56,31.28,23.25,36.06,8.934,475
2020-03-21T00:00:00.000Z,5.09,70.95,12.46,9.16,16.91,16.493,484
2020-03-22T00:00:00.000Z,3.2,72.15,7.46,5.97,40.58,22.584,457
2020-03-23T00:00:00.000Z,1.96,19.75,5.69,4.24,8.5,3.073,439
2020-03-24T00:00:00.000Z,2.89,22.3,5.52,4.19,13.06,4.876,442
2020-03-25T00:00:00.000Z,1.77,18.77,5.93,4.83,7.18,2.061,425
2020-03-26T00:00:00.000Z,3.38,45.16,6.18,4.98,7.85,3.243,433
2020-03-27T00:00:00.000Z,4.51,27.92,11.48,8.18,16.98,5.376,362
2020-03-28T00:00:00.000Z,27.92,61.63,49.08,46.39,51.87,4.994,176
2020-03-29T00:00:00.000Z,7.74,63.39,39.67,19.6,46.81,14.93,349
2020-03-30T00:00:00.000Z,1.36,21,5.38,3.88,9.84,3.991,140
2020-03-31T00:00:00.000Z,1.5,12.27,4.44,3.23,6.08,1.838,312
2020-04-01T00:00:00.000Z,3.89,56.82,8.88,6.69,10.93,5.758,192
2020-04-02T00:00:00.000Z,10.35,32.42,17.6,13.77,23.12,5.299,409
2020-04-03T00:00:00.000Z,20.01,47.82,30.15,26.68,34.59,5.754,454
2020-04-04T00:00:00.000Z,26.78,56,42.55,33.46,47.08,7.405,512
2020-04-05T00:00:00.000Z,11.23,45.68,18.61,14.44,28.3,9.149,535
2020-04-06T00:00:00.000Z,7.84,29.02,14.2,10.31,18.98,5.163,499
2020-04-07T00:00:00.000Z,9.8,37.18,17.23,14.18,21.42,5.929,447
2020-04-08T00:00:00.000Z,4.67,27.8,11.18,7.52,15.82,5.487,458
2020-04-09T00:00:00.000Z,4.3,24.98,10.94,8.55,13.89,3.855,459
2020-04-10T00:00:00.000Z,5.22,30.52,16.02,11.45,20.84,5.942,497
2020-04-11T00:00:00.000Z,1.42,13.87,3.68,2.97,5.45,2.412,149
2020-04-12T00:00:00.000Z,0.88,10.48,2.74,2.17,3.35,1.234,577
2020-04-13T00:00:00.000Z,2.61,10.78,5.62,4.04,7.06,1.842,578
2020-04-14T00:00:00.000Z,0.35,56.85,5.99,3.81,8.43,6.788,552
2020-04-15T00:00:00.000Z,3.22,13.93,7.41,6.15,8.97,2.111,336
2020-05-04T00:00:00.000Z,0.41,10.83,2.6,1.86,3.68,1.688,178
2020-05-05T00:00:00.000Z,0.54,11.58,2.99,2.18,4.11,1.681,497
2020-05-06T00:00:00.000Z,2.2,15.68,5.89,4.82,7.53,2.062,581
2020-05-07T00:00:00.000Z,1.48,21.51,7.04,5.48,8.8,3.305,384
2020-05-08T00:00:00.000Z,0.73,26.88,9.75,2.95,13.54,6.101,350
2020-05-09T00:00:00.000Z,0.52,9.31,2.65,1.72,3.51,1.515,344
2020-05-10T00:00:00.000Z,1.88,10.56,4.61,3.8,5.53,1.545,246
2020-05-11T00:00:00.000Z,2.41,21.08,10.11,8.14,12.21,3.466,357
2020-05-12T00:00:00.000Z,0.49,23,3.72,2.4,7.65,5.141,472
2020-05-13T00:00:00.000Z,2.35,34.25,10.1,7.13,13.23,4.439,472
2020-05-14T00:00:00.000Z,3.2,30.98,13,10.37,17.25,5.202,456
2020-05-15T00:00:00.000Z,0.92,15.76,4.01,2.9,5.5,2.219,526
2020-05-16T00:00:00.000Z,2.48,32.75,12.75,6.02,17.92,8.261,341
2020-05-17T00:00:00.000Z,1.72,34.34,6.64,4.46,9.26,5.663,544
2020-05-18T00:00:00.000Z,3.47,37.36,9.98,7.73,13.8,6.175,460
2020-05-19T00:00:00.000Z,1.8,22.25,6.86,4.36,11.84,4.626,544
2020-05-20T00:00:00.000Z,1.78,18.61,8.74,4.69,11.69,4.333,559
2020-05-21T00:00:00.000Z,1.81,26.72,7,5.38,10.77,4.734,509
2020-05-22T00:00:00.000Z,1.85,31.87,13.5,9.48,18.92,6.766,547
2020-05-23T00:00:00.000Z,1.4,17.17,4.59,3.1,6.1,2.007,506
2020-05-24T00:00:00.000Z,0.4,10.77,3.08,1.79,4.5,1.858,541
2020-05-25T00:00:00.000Z,0.43,21.02,2.7,1.83,3.9,2.052,547
2020-05-26T00:00:00.000Z,0.4,18.6,4.25,2.58,6.45,2.898,503
2020-05-27T00:00:00.000Z,0.45,22.75,2.7,1.67,4.09,2.019,527
2020-05-28T00:00:00.000Z,1.6,30.62,7.62,5.7,10.1,3.978,348
2020-05-29T00:00:00.000Z,1,13.95,2.38,1.87,3.21,1.433,256
2020-05-30T00:00:00.000Z,2.12,59.85,6.97,4.95,10.18,4.572,571
2020-05-31T00:00:00.000Z,2.15,23.23,5.86,3.97,8.05,3.743,508
2020-06-01T00:00:00.000Z,0.93,18.05,5.77,3.65,8.07,3.123,496
2020-06-02T00:00:00.000Z,0.7,23.4,5.37,2.2,8.47,4.104,535
2020-06-03T00:00:00.000Z,1.02,10.93,3.17,2.24,4.22,1.6,449
2020-06-04T00:00:00.000Z,0.52,16.7,5.6,3.4,6.68,2.22,538
2020-06-05T00:00:00.000Z,0.32,55.4,2.15,1.26,3.22,3.075,452
2020-06-06T00:00:00.000Z,1.55,12.6,4.9,3.67,6.28,1.953,493
2020-06-07T00:00:00.000Z,0.3,16.67,3.6,1.6,5.62,2.544,553
2020-06-08T00:00:00.000Z,0.2,15.7,1.65,0.93,2.72,2.424,538
2020-06-09T00:00:00.000Z,0.2,16.52,2.65,1.46,5.07,2.38,497
2020-06-10T00:00:00.000Z,0.47,54.47,3.83,2.27,5.57,3.873,515
2020-06-11T00:00:00.000Z,0.6,255.15,8.4,3.1,12.88,11.938,547
2020-06-12T00:00:00.000Z,0.9,29.02,4.82,2.87,9.03,6.307,557
2020-06-13T00:00:00.000Z,0.5,19.87,3.03,1.85,4.32,2.172,541
2020-06-14T00:00:00.000Z,0.5,21.48,2.92,1.44,6.56,4.712,341
2020-06-15T00:00:00.000Z,0.8,19.1,7.68,4.3,9.73,3.485,564
2020-06-16T00:00:00.000Z,0.35,15.68,4.34,2.52,7.76,3.464,573
2020-06-17T00:00:00.000Z,0.4,7.95,1.9,1.27,2.65,1.232,545
2020-06-18T00:00:00.000Z,0.68,21.02,3.47,2.35,5.03,2.211,502
2020-06-19T00:00:00.000Z,0.3,79.06,3.21,2.09,4.78,5.636,488
2020-06-20T00:00:00.000Z,0.5,13.6,2.75,1.7,4.8,2.307,585
2020-06-21T00:00:00.000Z,0.1,9.88,1.3,0.52,2.42,1.378,583
2020-06-22T00:00:00.000Z,0.43,13.3,2.12,1.2,3.45,1.851,555
2020-06-23T00:00:00.000Z,0.4,200.82,2.95,1.77,4.34,8.534,567
2020-06-24T00:00:00.000Z,1.6,16.98,5.2,3.67,7.03,2.419,591
2020-06-25T00:00:00.000Z,1.92,17.7,6.12,4.09,7.93,2.739,568
2020-06-26T00:00:00.000Z,1.14,14.93,5.14,3.83,6.31,1.911,560
2020-06-27T00:00:00.000Z,2.17,45.45,6.95,4.95,9.25,3.928,523
2020-06-28T00:00:00.000Z,1.35,12.73,4.93,3.17,7.07,2.359,447
2020-06-29T00:00:00.000Z,1.27,206.68,4.09,2.85,5.89,11.466,461
2020-06-30T00:00:00.000Z,2.5,22.45,7.28,6.1,8.75,2.529,471
2020-07-01T00:00:00.000Z,0.7,24.6,4.4,3.05,6.2,2.675,459
2020-07-02T00:00:00.000Z,0.55,18.35,3.87,2.5,5.95,2.651,450
2020-07-03T00:00:00.000Z,0.4,15.77,1.98,1.24,2.67,1.65,477
2020-07-04T00:00:00.000Z,0.4,13.57,1.85,1.05,2.67,1.631,495
2020-07-05T00:00:00.000Z,1.02,13.18,2.65,1.98,3.79,1.668,472
2020-07-06T00:00:00.000Z,0.37,15.3,6.65,5.25,9.35,3.073,283
2020-07-07T00:00:00.000Z,0.5,17.62,3.03,1.9,4.68,2.284,423
