date,min,max,median,q1,q3,stdev,count
2020-01-29T00:00:00.000Z,2.84,4.72,3.36,3.16,3.61,0.454,45
2020-01-30T00:00:00.000Z,2.02,59.34,7.01,2.82,44.8,20.907,290
2020-01-31T00:00:00.000Z,6.12,55.99,29,23.07,52.61,15.248,281
2020-02-01T00:00:00.000Z,26.36,66.94,54.63,41.75,59.31,12.028,318
2020-02-02T00:00:00.000Z,10.62,47.35,21.24,14.91,30.44,10.529,326
2020-02-03T00:00:00.000Z,13.66,84.72,27.12,24.16,29.84,14.439,312
2020-02-04T00:00:00.000Z,0.25,82.76,3.84,0.67,64.83,32.198,252
2020-02-05T00:00:00.000Z,0.26,7.48,0.9,0.7,1.7,1.07,237
2020-02-06T00:00:00.000Z,0.59,7.08,3.45,2.09,4.16,1.419,232
2020-02-07T00:00:00.000Z,2.66,22.49,9.18,5.85,12.26,4.09,210
2020-02-08T00:00:00.000Z,12.05,30.6,15.57,14.38,19.57,4.856,174
2020-02-09T00:00:00.000Z,28.67,58.68,44.68,38.56,50.72,7.33,318
2020-02-10T00:00:00.000Z,15.35,58.28,41.97,36.34,47.38,8.732,367
2020-02-11T00:00:00.000Z,0.34,37.36,2,0.76,29.52,13.985,355
2020-02-12T00:00:00.000Z,0.25,9.07,0.86,0.54,2.25,1.244,388
2020-02-13T00:00:00.000Z,2.97,33.13,15.98,12.8,19.45,7.206,377
2020-02-14T00:00:00.000Z,7.91,26.68,15.22,11.52,18.3,4.305,377
2020-02-15T00:00:00.000Z,10.26,51.46,29.24,22.2,34.4,9.694,329
2020-02-16T00:00:00.000Z,19.16,53.56,42.15,30.71,45.65,8.354,375
2020-02-17T00:00:00.000Z,11.68,64.2,37.01,27.73,49.7,14.524,345
2020-02-18T00:00:00.000Z,15.17,55.54,40.18,34.29,44.84,7.813,307
2020-02-19T00:00:00.000Z,0.57,50.31,31.52,20.99,36.25,15.571,452
2020-02-20T00:00:00.000Z,0.85,15.98,3.97,2.62,9.36,4.225,497
2020-02-21T00:00:00.000Z,6.04,23.95,14.5,12.26,17.94,4.377,418
2020-02-22T00:00:00.000Z,12.54,35.95,22.52,19.22,28.05,6.015,436
2020-02-23T00:00:00.000Z,3.76,39.9,18.3,10.51,30.82,11.054,443
2020-02-24T00:00:00.000Z,3.78,55.42,22.76,10.86,40.32,15.748,510
2020-02-25T00:00:00.000Z,14.5,60.75,47.41,41.64,51.99,12.037,440
2020-02-26T00:00:00.000Z,0.2,63.46,1.24,0.44,52.17,25.355,399
2020-02-27T00:00:00.000Z,0.25,11.89,1.24,0.86,1.75,0.839,543
2020-02-28T00:00:00.000Z,0.2,7.49,0.88,0.55,1.96,1.988,548
2020-02-29T00:00:00.000Z,2.86,13.36,5.12,3.92,7.07,2.434,572
2020-03-01T00:00:00.000Z,11.25,47.36,19.2,16.21,22.05,8.828,570
2020-03-02T00:00:00.000Z,2.5,47.08,9.13,5.16,37.31,15.51,464
2020-03-03T00:00:00.000Z,0.44,14.4,9.15,5.55,12.09,3.504,424
2020-03-04T00:00:00.000Z,1.24,12.72,5.37,3.11,8.38,3.143,582
2020-03-05T00:00:00.000Z,3.94,17.73,7.88,6.12,9.49,2.313,589
2020-03-06T00:00:00.000Z,8.64,34.39,16.93,13.47,19.02,5.722,588
2020-03-07T00:00:00.000Z,0.18,36.92,14.57,4.86,30.18,12.928,591
2020-03-08T00:00:00.000Z,2.1,14.07,5.74,3.5,9.38,3.007,590
2020-03-09T00:00:00.000Z,6.25,15.32,9.94,9.22,11,1.696,582
2020-03-10T00:00:00.000Z,1.65,22.85,6.43,2.7,17.22,7.269,575
2020-03-11T00:00:00.000Z,1.24,10.18,3.26,2.49,4.95,1.834,580
2020-03-12T00:00:00.000Z,2.27,38.54,4.7,3.56,7.66,11.947,488
2020-03-13T00:00:00.000Z,1.32,47.58,2.95,2.27,3.82,9.132,512
2020-03-14T00:00:00.000Z,1.05,56.6,4.3,2.38,20.13,17.838,545
2020-03-15T00:00:00.000Z,2.62,13.06,6.44,3.48,10.59,3.407,289
2020-03-16T00:00:00.000Z,3.31,14.88,7.49,6.12,10.03,2.558,579
2020-03-17T00:00:00.000Z,10.18,58.94,16.34,13.54,18.07,6.488,583
2020-03-18T00:00:00.000Z,8.39,30.66,25.21,16,26.56,5.992,506
2020-03-19T00:00:00.000Z,7.7,28.99,20.44,12.88,24.42,6.116,555
2020-03-20T00:00:00.000Z,4.5,31.7,18.98,15.34,21.42,5.102,475
2020-03-21T00:00:00.000Z,4.51,43.32,9.59,7.14,11.59,10.347,484
2020-03-22T00:00:00.000Z,2.54,43.52,5.71,4.8,28.69,14.717,457
2020-03-23T00:00:00.000Z,1.3,7.88,2.61,2.15,4.01,1.727,439
2020-03-24T00:00:00.000Z,2.46,11.54,4,3.46,8.25,2.527,442
2020-03-25T00:00:00.000Z,1.6,7.48,4.3,3.3,4.71,1.073,425
2020-03-26T00:00:00.000Z,3.12,33.49,5.27,4.29,6.32,2.211,433
2020-03-27T00:00:00.000Z,3.49,11.65,7.87,5.89,9.35,1.949,362
2020-03-28T00:00:00.000Z,6.96,11.85,8.34,7.8,9.57,1.129,176
2020-03-29T00:00:00.000Z,3.71,13.9,7.66,5.31,10.1,2.503,348
2020-03-30T00:00:00.000Z,1.24,8.75,4.17,3.27,7.11,2.111,140
2020-03-31T00:00:00.000Z,1.4,7.65,3.52,2.72,4.07,1.172,310
2020-04-01T00:00:00.000Z,3.05,27.98,6.99,5.13,8.17,3.096,192
2020-04-02T00:00:00.000Z,9.07,18.85,13.06,11.5,15.78,2.437,409
2020-04-03T00:00:00.000Z,15.52,26.61,19.64,17.6,21.42,2.341,454
