date,min,max,median,q1,q3,stdev,count
2022-02-04T00:00:00.000Z,10.3,113.87,84.6,62.98,90.51,23.861,204
2022-02-05T00:00:00.000Z,41.75,148.43,81.62,69.84,100.81,21.426,452
2022-02-06T00:00:00.000Z,59.78,195.45,129.82,116.5,142.04,25.481,453
2022-02-07T00:00:00.000Z,2,172.32,6.13,3.3,92.8,54.364,451
2022-02-08T00:00:00.000Z,4.15,30.33,12.45,10.11,16.27,4.535,449
2022-02-09T00:00:00.000Z,7.25,32.79,15.02,11.7,20.27,5.606,438
2022-02-10T00:00:00.000Z,11.57,49.33,25.07,19.36,31.88,8.17,432
2022-02-11T00:00:00.000Z,3.17,48.88,28.33,17.3,34.08,10.213,345
2022-02-13T00:00:00.000Z,13.68,30.13,19.45,17.64,24.7,3.902,135
2022-02-14T00:00:00.000Z,20.39,55.17,29.1,26.63,37.09,7.915,460
2022-02-15T00:00:00.000Z,33.86,94.2,58.8,45.23,67.53,12.754,463
2022-02-16T00:00:00.000Z,43.85,115.57,69.3,61.4,85.57,15.526,454
2022-02-17T00:00:00.000Z,5.35,64.27,24.58,13.63,35.25,12.301,458
2022-02-18T00:00:00.000Z,52.27,169.93,71.29,63.5,87,16.218,456
2022-02-19T00:00:00.000Z,81.03,149.35,111.6,101.97,118.38,12.927,455
2022-02-20T00:00:00.000Z,15.55,149.18,36.84,25.92,103.65,38.964,458
2022-02-21T00:00:00.000Z,1.88,88.72,7.9,2.88,68.95,32.247,457
2022-02-22T00:00:00.000Z,1.73,15.2,3.2,2.42,5.01,2.733,465
2022-02-23T00:00:00.000Z,9.13,35.88,17.48,14.18,23.71,5.867,460
2022-02-24T00:00:00.000Z,17.47,55.83,28.42,24.43,44.64,10.405,460
2022-02-25T00:00:00.000Z,2.15,55.65,35.56,3.7,44.5,19.679,460
2022-02-26T00:00:00.000Z,1.4,13.6,6.8,4.7,8.13,2.286,462
2022-02-27T00:00:00.000Z,3.85,20.67,8.5,7.05,10.07,2.679,459
2022-02-28T00:00:00.000Z,10.3,43.25,18.48,15.4,20.83,4.373,450
2022-03-01T00:00:00.000Z,7.95,32.79,12.54,10.74,15.98,4.953,460
2022-03-02T00:00:00.000Z,12.6,48.85,25.45,21.53,33.08,7.752,459
2022-03-03T00:00:00.000Z,11.93,37.4,21.37,17.23,24.9,5.111,455
2022-03-04T00:00:00.000Z,21.15,59.1,47.59,31.63,52.55,10.544,458
2022-03-05T00:00:00.000Z,14.48,37.7,23.66,20.83,26.6,3.908,462
2022-03-06T00:00:00.000Z,13.93,36.83,21.73,18.8,24.15,3.928,455
2022-03-07T00:00:00.000Z,16,49.3,29.25,24.99,35.75,6.933,464
2022-03-08T00:00:00.000Z,12.02,49.92,25.77,19,30.77,8.069,455
2022-03-09T00:00:00.000Z,29.73,64.95,44.1,38.03,51.13,7.783,457
2022-03-10T00:00:00.000Z,29.8,76.73,49.68,37.42,59.1,12.246,458
2022-03-11T00:00:00.000Z,10.77,67.88,24.77,20.98,36.79,14.224,463
2022-03-12T00:00:00.000Z,9.18,35.88,24.63,11.98,28.98,8.338,455
2022-03-13T00:00:00.000Z,10.43,35.9,15.9,13.7,23.82,5.774,453
2022-03-14T00:00:00.000Z,18.3,44.95,25.14,22.67,30.08,5.846,454
2022-03-15T00:00:00.000Z,40.29,77.25,55.3,48.72,61.67,7.936,459
2022-03-16T00:00:00.000Z,10.13,91.2,37.6,17.2,46.4,17.106,455
2022-03-17T00:00:00.000Z,41.4,90.18,67.8,59.28,73.65,10.296,458
2022-03-18T00:00:00.000Z,16.23,98.75,28.47,21.65,43.21,23.552,448
2022-03-19T00:00:00.000Z,14.65,34.22,21.98,19.88,24.37,3.232,459
2022-03-20T00:00:00.000Z,15.2,37.08,24.41,21.02,26.05,3.618,454
2022-03-21T00:00:00.000Z,14.63,37.33,21.8,18.67,25.72,4.862,444
2022-03-22T00:00:00.000Z,12.88,46.78,28.76,20.2,35.03,7.995,462
2022-03-23T00:00:00.000Z,12.25,59.1,29.67,17.57,41.53,12.603,454
2022-03-24T00:00:00.000Z,7.3,48.7,26.54,14.18,34.9,11.224,454
2022-03-25T00:00:00.000Z,8.57,34.78,15.93,12.55,20.9,5.735,455
