date,min,max,median,q1,q3,stdev,count
2022-02-04T00:00:00.000Z,6.9,47.47,37.81,32.64,40.17,8.679,204
2022-02-05T00:00:00.000Z,23.83,56.97,39.04,33.72,45.39,7.722,452
2022-02-06T00:00:00.000Z,31.75,63.5,48.63,45.87,51.97,5.872,453
2022-02-07T00:00:00.000Z,0.7,56.55,1.5,1.1,40.03,20.682,451
2022-02-08T00:00:00.000Z,1.83,12.45,6.95,5.76,8.81,2.309,449
2022-02-09T00:00:00.000Z,2.88,15.65,6.21,4.3,11.93,3.984,438
2022-02-10T00:00:00.000Z,5.63,24.08,13.3,10.73,16.46,4.794,432
2022-02-11T00:00:00.000Z,1.23,26.42,15.48,7.42,19.23,6.46,345
2022-02-13T00:00:00.000Z,8.65,16.05,11.1,10.33,14.18,2.06,135
2022-02-14T00:00:00.000Z,12.15,28.1,16.6,15.16,20.94,4.065,460
2022-02-15T00:00:00.000Z,19.13,39.6,28.52,24.67,31.9,4.383,463
2022-02-16T00:00:00.000Z,17.89,42.55,30.62,26.65,34.4,5.261,454
2022-02-17T00:00:00.000Z,2.78,32.08,14.82,7.28,16.82,5.84,458
2022-02-18T00:00:00.000Z,24.83,69.18,34.46,31.27,37.9,5.459,456
2022-02-19T00:00:00.000Z,33.17,56.45,43.5,40.4,46.08,3.853,455
2022-02-20T00:00:00.000Z,8.27,47.5,18.64,13.77,35.45,11.881,458
2022-02-21T00:00:00.000Z,0.6,38.1,2.83,1.1,31.4,14.714,457
2022-02-22T00:00:00.000Z,0.7,7,1.2,1,1.98,1.561,465
2022-02-23T00:00:00.000Z,5.85,20.8,10.29,7.87,15.48,4.009,460
2022-02-24T00:00:00.000Z,10.95,24.77,15.52,13.8,21.4,3.949,460
2022-02-25T00:00:00.000Z,0.9,27.3,16.38,1.36,22.08,9.907,460
2022-02-26T00:00:00.000Z,0.6,6.4,3.78,2.08,4.43,1.39,462
2022-02-27T00:00:00.000Z,2.02,10.5,4.2,3.53,5,1.389,459
2022-02-28T00:00:00.000Z,6.8,28.25,10.23,8.73,11.5,2.471,450
2022-03-01T00:00:00.000Z,4.09,14.5,6.52,5.4,8.25,2.478,460
2022-03-02T00:00:00.000Z,8.07,22.13,13.45,12.35,16.82,3.502,459
2022-03-03T00:00:00.000Z,7.57,18.1,12.38,9.5,13.85,2.444,455
2022-03-04T00:00:00.000Z,12.23,32.53,24.96,16.27,27.13,5.368,458
2022-03-05T00:00:00.000Z,8.02,15.02,12.1,11,13.07,1.461,462
2022-03-06T00:00:00.000Z,7.57,17.39,10.8,9.9,11.93,1.746,455
2022-03-07T00:00:00.000Z,9.3,23.63,14.52,13.34,17.76,2.966,464
2022-03-08T00:00:00.000Z,6.53,24.2,12.7,9.94,15.13,3.756,455
2022-03-09T00:00:00.000Z,14.95,28.85,21.58,18.47,23.4,3.181,457
2022-03-10T00:00:00.000Z,15.1,33.83,22.65,18.07,26.15,4.532,458
2022-03-11T00:00:00.000Z,6.05,28.9,13.02,11.15,17,5.373,463
2022-03-12T00:00:00.000Z,5.23,17.13,12.73,6.07,14.68,4.126,455
2022-03-13T00:00:00.000Z,6.68,16.48,8.82,7.78,12.6,2.642,453
2022-03-14T00:00:00.000Z,10.95,24.57,15.17,13.88,17.42,2.816,454
2022-03-15T00:00:00.000Z,21.17,40.04,29.48,25.73,32.77,4.137,459
2022-03-16T00:00:00.000Z,5.35,44.15,19.88,8.88,24.02,8.643,455
2022-03-17T00:00:00.000Z,21.88,43.28,33,29.83,35.63,4.247,458
2022-03-18T00:00:00.000Z,8.94,45,16.72,11.93,22.02,10.256,448
2022-03-19T00:00:00.000Z,8.27,17.32,12,10.93,13.4,1.832,459
2022-03-20T00:00:00.000Z,8.13,22.7,13.69,11.2,14.7,2.3,454
2022-03-21T00:00:00.000Z,8.44,18.64,12.52,10.82,14.3,2.23,444
2022-03-22T00:00:00.000Z,9.19,22,16.75,12.57,18.67,3.434,462
2022-03-23T00:00:00.000Z,7.2,28.35,17.09,10.5,22.42,6.402,454
2022-03-24T00:00:00.000Z,4.09,25.05,14.55,8.55,18.1,5.871,454
2022-03-25T00:00:00.000Z,5.57,17.95,10.27,7.65,11.8,2.866,455
2022-03-26T00:00:00.000Z,7.87,31.23,16.26,12.2,18.3,5.883,458
2022-03-27T00:00:00.000Z,13.6,31.42,24.73,20.38,28.6,4.49,455
2022-03-28T00:00:00.000Z,10.63,30.3,21.04,15.65,23.73,4.952,456
2022-03-29T00:00:00.000Z,7.1,33.79,23.27,19.17,26.32,6.436,457
2022-03-30T00:00:00.000Z,8.32,36.67,22.33,20.63,25.45,4.034,462
2022-03-31T00:00:00.000Z,6.8,35.4,10.85,9.43,14.5,5.702,465
2022-04-01T00:00:00.000Z,1.73,16.82,4.95,3.69,6.53,3.234,445
2022-04-02T00:00:00.000Z,1.38,6.55,2.59,2.1,4.63,1.402,420
2022-04-03T00:00:00.000Z,3.13,11.8,7.13,6.28,8.13,1.562,457
2022-04-04T00:00:00.000Z,4,14.8,8.3,6.43,10.37,2.503,463
2022-04-05T00:00:00.000Z,3.7,25.3,11.18,8.55,16.7,5.803,462
2022-04-06T00:00:00.000Z,2.4,38.2,21.38,18.7,27.9,8.373,462
2022-04-07T00:00:00.000Z,1.6,13.3,5.6,3.42,7.63,2.627,463
2022-04-08T00:00:00.000Z,1.77,9.33,3.6,2.92,4.8,1.677,457
2022-04-09T00:00:00.000Z,0.7,6.03,1.67,1.17,2.78,1.215,450
2022-04-10T00:00:00.000Z,1.2,15.48,2.17,1.65,3.79,1.663,452
2022-04-11T00:00:00.000Z,1.14,7.2,2.8,1.8,5,1.732,459
2022-04-12T00:00:00.000Z,1.5,13.3,3.8,2.7,7.73,3.027,464
2022-04-13T00:00:00.000Z,7.22,20.32,10.8,9.23,12.77,2.227,456
2022-04-14T00:00:00.000Z,5.38,19.55,11.53,7.81,14.4,3.725,460
2022-04-15T00:00:00.000Z,9.25,19.89,14.2,12.13,15.89,2.356,461
2022-04-16T00:00:00.000Z,2.22,12.45,7.47,3.91,9.24,2.779,465
2022-04-17T00:00:00.000Z,2.1,27.88,3.21,2.8,3.67,1.641,460
