date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,72.73,147.69,117.17,107.42,127.84,14.569,314
2019-12-10T00:00:00.000Z,0,66.92,3.56,1.4,18.03,13.912,413
2019-12-11T00:00:00.000Z,7.36,37.52,16.3,12.02,23.58,7.331,415
2019-12-12T00:00:00.000Z,7.58,40.74,24.84,18.25,30.32,8.186,446
2019-12-13T00:00:00.000Z,7.72,47.28,19.23,13.18,31.88,9.768,412
2019-12-14T00:00:00.000Z,10.95,58.26,26.96,22.44,30.45,7.106,402
2019-12-15T00:00:00.000Z,20.51,76.38,33.97,27.27,48.58,14.083,576
2019-12-16T00:00:00.000Z,48.36,91.08,65.73,57.17,76.18,11.272,288
2019-12-17T00:00:00.000Z,19.14,286.74,54.07,38.86,72.42,35.773,291
2019-12-18T00:00:00.000Z,35.11,95.92,57.56,49.71,79.09,16.382,469
2019-12-19T00:00:00.000Z,20.27,104.34,55.68,39.92,60.53,13.727,553
2019-12-20T00:00:00.000Z,10.44,57.99,37.11,26.72,44.59,11.128,573
2019-12-21T00:00:00.000Z,8.98,77,18.96,13.29,24.42,7.531,559
2019-12-22T00:00:00.000Z,2.99,14.1,7.48,5.52,9.41,2.5,463
2019-12-23T00:00:00.000Z,0.6,12.12,2.95,2.04,3.79,1.74,587
2019-12-24T00:00:00.000Z,0.65,13.93,5.72,3.31,7.77,2.773,551
2019-12-25T00:00:00.000Z,2.12,17.68,6.75,4.95,12.88,4.3,525
2019-12-26T00:00:00.000Z,12.66,38.58,22.14,19.45,30.59,6.227,479
2019-12-27T00:00:00.000Z,20.27,65.61,36.51,32.95,49.75,9.947,478
2019-12-28T00:00:00.000Z,30.32,129.44,48.46,41.68,55.36,13.374,539
2019-12-29T00:00:00.000Z,50.21,168.84,88.16,71.01,113.26,28.292,511
2019-12-30T00:00:00.000Z,80.42,138.32,91.98,88.22,97.38,10.126,451
2019-12-31T00:00:00.000Z,56.24,461.12,92.35,86.69,98.36,44.234,500
2020-01-01T00:00:00.000Z,52.4,673.44,149.41,69.22,211.69,89.826,558
2020-01-02T00:00:00.000Z,38.75,131.5,64.18,59.18,99.22,25.326,567
2020-01-03T00:00:00.000Z,40.56,120.05,50.28,46.64,64.15,17.671,517
