date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,51.51,102.96,84.18,78.84,88.65,8.595,314
2019-12-10T00:00:00.000Z,0,53.92,1,0.4,11.76,10.326,413
2019-12-11T00:00:00.000Z,3.81,24.4,10.01,5.82,14.67,5.973,415
2019-12-12T00:00:00.000Z,5.7,33.67,19.87,14.46,23.47,6.637,446
2019-12-13T00:00:00.000Z,6.1,30.52,14.62,10.7,21.67,6.384,412
2019-12-14T00:00:00.000Z,8.32,36.83,18.86,15.64,20.69,4.379,402
2019-12-15T00:00:00.000Z,15.15,53.42,26.36,20.88,39.44,10.632,576
2019-12-16T00:00:00.000Z,37.29,61.36,48.59,43.01,54.3,6.397,288
2019-12-17T00:00:00.000Z,13.96,226.22,40.69,26.03,51.26,24.097,291
2019-12-18T00:00:00.000Z,24.57,54.19,36.92,32.97,46.9,7.814,469
2019-12-19T00:00:00.000Z,13.93,42.74,32.52,25.03,37.01,7.282,553
2019-12-20T00:00:00.000Z,8.5,33.9,21.64,14.04,26.62,6.882,573
2019-12-21T00:00:00.000Z,7.26,57.84,14.71,10.65,18.38,5.497,559
2019-12-22T00:00:00.000Z,1.78,10.24,5.05,3.61,6.74,2.126,463
2019-12-23T00:00:00.000Z,0.24,8.07,1.23,0.82,1.76,1.232,587
2019-12-24T00:00:00.000Z,0.3,9.72,2.98,1.49,4.73,1.928,551
2019-12-25T00:00:00.000Z,1.05,11.59,3.72,2.5,8.93,3.383,525
2019-12-26T00:00:00.000Z,8.77,27.5,16.73,15.1,24.02,4.825,479
2019-12-27T00:00:00.000Z,15.24,53.11,29.3,26.82,41.51,8.586,478
2019-12-28T00:00:00.000Z,22.01,101.75,37.65,31.83,42.67,11.164,539
2019-12-29T00:00:00.000Z,42.2,88.55,60.52,52.4,70.97,11.842,511
2019-12-30T00:00:00.000Z,43.83,76,50.84,49.21,53.12,5.151,451
2019-12-31T00:00:00.000Z,32.78,339.33,51.54,46.56,55.44,33.292,500
2020-01-01T00:00:00.000Z,33.6,407.26,97.53,48.2,138.01,59.446,558
2020-01-02T00:00:00.000Z,28.61,77.73,45,39.29,64.33,14.581,567
2020-01-03T00:00:00.000Z,29.48,72.79,37.92,34.97,44.46,9.208,517
2020-01-04T00:00:00.000Z,13.53,110.94,26.46,19.77,33.15,9.978,461
2020-01-05T00:00:00.000Z,12.3,86.62,36.06,29.94,38.64,7.447,284
2020-01-06T00:00:00.000Z,14.15,176.76,41.47,24.08,52.66,19.361,422
2020-01-07T00:00:00.000Z,41.86,104.55,52.94,50.15,55.95,5.668,509
2020-01-08T00:00:00.000Z,35.39,69.43,46.99,43.35,56.93,9.477,493
2020-01-09T00:00:00.000Z,42.32,195.61,59.06,50.89,70.95,14.481,388
2020-01-10T00:00:00.000Z,56.62,103.55,67.81,62.8,72.4,5.689,413
2020-01-11T00:00:00.000Z,20.58,242.12,45.54,34.9,56.52,18.798,525
2020-01-12T00:00:00.000Z,18.34,165.2,42.84,33.74,58.8,17.898,457
2020-01-13T00:00:00.000Z,38.15,106.48,58.5,50.98,66.29,10.95,452
2020-01-14T00:00:00.000Z,51.63,98.86,73.56,59.22,77.18,10.451,375
2020-01-15T00:00:00.000Z,71.16,132,96.02,80.81,110.04,15.686,381
2020-01-16T00:00:00.000Z,60.28,143.52,83.31,74.84,93.45,14.427,460
2020-01-17T00:00:00.000Z,21.52,110.1,47.9,31.05,69.11,22.002,455
2020-01-18T00:00:00.000Z,10.01,80.45,41.87,33.67,56.75,17.696,500
2020-01-19T00:00:00.000Z,11.73,62.26,33.04,25.18,43.61,10.887,468
2020-01-20T00:00:00.000Z,1.13,15.55,4.71,2.52,9.32,4.223,350
2020-01-21T00:00:00.000Z,10.29,29.15,20.11,12.64,24.39,5.867,459
2020-01-22T00:00:00.000Z,22.13,28.68,23.93,23.72,27.1,2.065,13
2020-01-23T00:00:00.000Z,33.28,52.38,49.95,43.1,51.22,4.674,78
2020-01-24T00:00:00.000Z,49.58,77.68,57.44,54.39,60.01,6.066,269
2020-01-25T00:00:00.000Z,54.55,96.38,64.28,59.96,81.31,11.325,298
2020-01-26T00:00:00.000Z,33.06,90.78,75.06,65.94,86.23,15.159,305
2020-01-27T00:00:00.000Z,39.17,119.12,75.37,55.53,91.06,18.933,251
2020-01-28T00:00:00.000Z,43.34,121.42,91.55,61.88,94.96,18.997,267
2020-01-29T00:00:00.000Z,2.02,74.84,15.31,6.32,49.58,25.75,302
2020-01-30T00:00:00.000Z,4.43,169.98,8.52,6.52,53.69,30.326,280
2020-01-31T00:00:00.000Z,9.6,78.22,42.78,36.15,68,19.234,241
2020-02-01T00:00:00.000Z,40.29,167.05,86.66,61.32,94.39,19.935,316
2020-02-02T00:00:00.000Z,21,76.47,39.79,27.13,48.01,13.08,328
2020-02-03T00:00:00.000Z,29.78,98.18,37.43,34.56,42.58,15.344,308
2020-02-04T00:00:00.000Z,0.18,97.32,1.45,0.62,83.71,41.908,251
2020-02-05T00:00:00.000Z,0.25,3.78,1.06,0.7,1.49,0.748,214
2020-02-06T00:00:00.000Z,0.98,17.45,4.76,2.41,6.36,2.819,229
